rank,title,author,avg_rating,num_ratings,cover_img_url,goodreads_url,source
22,"The Da Vinci Code (Robert Langdon, #2)",Dan    Brown,3.94,2558757,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1720313229i/968._SY75_.jpg,https://www.goodreads.com/book/show/968.The_Da_Vinci_Code,GoodReads
23,Alice’s Adventures in Wonderland / Through the Looking-Glass,Lewis Carroll,4.06,617668,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630487234i/24213._SX50_.jpg,https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,GoodReads
24,"Divergent (Divergent, #1)",Veronica Roth,4.13,4440767,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1618526890i/13335037._SY75_.jpg,https://www.goodreads.com/book/show/13335037-divergent,GoodReads
25,Les Misérables,Victor Hugo,4.21,854516,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1411852091i/24280._SY75_.jpg,https://www.goodreads.com/book/show/24280.Les_Mis_rables,GoodReads
26,"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.33,1137029,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1615094578i/8127._SY75_.jpg,https://www.goodreads.com/book/show/8127.Anne_of_Green_Gables,GoodReads
27,Memoirs of a Geisha,Arthur Golden,4.16,2129294,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409595968i/929._SY75_.jpg,https://www.goodreads.com/book/show/929.Memoirs_of_a_Geisha,GoodReads
28,The Alchemist,Paulo Coelho,3.92,3671003,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483412266i/865._SY75_.jpg,https://www.goodreads.com/book/show/865.The_Alchemist,GoodReads
29,Lord of the Flies,William Golding,3.7,3263858,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327869409i/7624._SY75_.jpg,https://www.goodreads.com/book/show/7624.Lord_of_the_Flies,GoodReads
30,Romeo and Juliet,William Shakespeare,3.74,2861533,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629680008i/18135._SY75_.jpg,https://www.goodreads.com/book/show/18135.Romeo_and_Juliet,GoodReads
31,Brave New World,Aldous Huxley,3.98,2119396,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1575509280i/5129._SY75_.jpg,https://www.goodreads.com/book/show/5129.Brave_New_World,GoodReads
32,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,2049476,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1531891848i/11._SY75_.jpg,https://www.goodreads.com/book/show/11.The_Hitchhiker_s_Guide_to_the_Galaxy,GoodReads
33,"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.06,2195946,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1432730315i/256683._SY75_.jpg,https://www.goodreads.com/book/show/256683.City_of_Bones,GoodReads
34,1984,George Orwell,4.2,5629863,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1532714506i/40961427._SX50_.jpg,https://www.goodreads.com/book/show/40961427-1984,GoodReads
35,Dracula,Bram Stoker,4.03,1512967,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1387151694i/17245._SY75_.jpg,https://www.goodreads.com/book/show/17245.Dracula,GoodReads
36,The Help,Kathryn Stockett,4.47,3061429,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1622355533i/4667024._SY75_.jpg,https://www.goodreads.com/book/show/4667024-the-help,GoodReads
37,Fahrenheit 451,Ray Bradbury,3.97,2922074,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1383718290i/13079982._SY75_.jpg,https://www.goodreads.com/book/show/13079982-fahrenheit-451,GoodReads
38,Charlotte’s Web,E.B. White,4.21,2079835,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1628267712i/24178._SY75_.jpg,https://www.goodreads.com/book/show/24178.Charlotte_s_Web,GoodReads
39,Of Mice and Men,John Steinbeck,3.9,2898288,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1511302904i/890._SX50_.jpg,https://www.goodreads.com/book/show/890.Of_Mice_and_Men,GoodReads
40,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1490711,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1408303130i/375802._SY75_.jpg,https://www.goodreads.com/book/show/375802.Ender_s_Game,GoodReads
41,The Catcher in the Rye,J.D. Salinger,3.8,3959082,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1398034300i/5107._SY75_.jpg,https://www.goodreads.com/book/show/5107.The_Catcher_in_the_Rye,GoodReads
42,"Little Women (Little Women, #1)",Louisa May Alcott,4.17,2506557,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562690475i/1934._SY75_.jpg,https://www.goodreads.com/book/show/1934.Little_Women,GoodReads
43,The Outsiders,S.E. Hinton,4.15,1652843,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442129426i/231804._SY75_.jpg,https://www.goodreads.com/book/show/231804.The_Outsiders,GoodReads
44,One Hundred Years of Solitude,Gabriel García Márquez,4.12,1129306,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327881361i/320._SX50_.jpg,https://www.goodreads.com/book/show/320.One_Hundred_Years_of_Solitude,GoodReads
45,A Thousand Splendid Suns,Khaled Hosseini,4.46,1779806,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1655336738i/128029._SY75_.jpg,https://www.goodreads.com/book/show/128029.A_Thousand_Splendid_Suns,GoodReads
46,The Secret Garden,Frances Hodgson Burnett,4.17,1319776,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327873635i/2998._SY75_.jpg,https://www.goodreads.com/book/show/2998.The_Secret_Garden,GoodReads
47,The Princess Bride,William Goldman,4.27,957145,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327903636i/21787._SY75_.jpg,https://www.goodreads.com/book/show/21787.The_Princess_Bride,GoodReads
48,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,4.45,2779149,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1562726234i/13496._SY75_.jpg,https://www.goodreads.com/book/show/13496.A_Game_of_Thrones,GoodReads
49,The Time Traveler's Wife,Audrey Niffenegger,,1870131,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1733519901i/18619684._SX50_.jpg,https://www.goodreads.com/book/show/18619684-the-time-traveler-s-wife,GoodReads
50,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,4.62,4177757,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1663805647i/136251._SY75_.jpg,https://www.goodreads.com/book/show/136251.Harry_Potter_and_the_Deathly_Hallows,GoodReads
51,Frankenstein: The 1818 Text,Mary Wollstonecraft Shelley,3.92,1957208,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631088473i/35031085._SY75_.jpg,https://www.goodreads.com/book/show/35031085-frankenstein,GoodReads
52,The Odyssey,Homer,3.84,1224393,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1711957706i/1381._SY75_.jpg,https://www.goodreads.com/book/show/1381.The_Odyssey,GoodReads
53,"The Girl With the Dragon Tattoo (Millennium, #1)",Stieg Larsson,4.18,3492912,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1684638853i/2429135._SX50_.jpg,https://www.goodreads.com/book/show/2429135.The_Girl_With_the_Dragon_Tattoo,GoodReads
54,"The Handmaid’s Tale (The Handmaid's Tale, #1)",Margaret Atwood,4.15,2500553,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1578028274i/38447._SY75_.jpg,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale,GoodReads
55,"The Giver (Giver, #1)",Lois Lowry,4.12,2860177,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1342493368i/3636._SY75_.jpg,https://www.goodreads.com/book/show/3636.The_Giver,GoodReads
56,The Kite Runner,Khaled Hosseini,4.36,3557071,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1579036753i/77203._SY75_.jpg,https://www.goodreads.com/book/show/77203.The_Kite_Runner,GoodReads
57,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.97,1301950,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1507963312i/33574273._SX50_.jpg,https://www.goodreads.com/book/show/33574273-a-wrinkle-in-time,GoodReads
58,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.58,4953991,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630547330i/5._SY75_.jpg,https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,GoodReads
59,"Dune (Dune, #1)",Frank Patrick Herbert,4.29,1672097,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1555447414i/44767458._SY75_.jpg,https://www.goodreads.com/book/show/44767458-dune,GoodReads
60,Where the Wild Things Are,Maurice Sendak,4.26,1077652,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384434560i/19543._SX50_.jpg,https://www.goodreads.com/book/show/19543.Where_the_Wild_Things_Are,GoodReads
61,Green Eggs and Ham,Dr. Seuss,4.32,857262,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1673212751i/23772._SX50_.jpg,https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,GoodReads
62,The Lovely Bones,Alice Sebold,3.86,2477488,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1457810586i/12232938._SY75_.jpg,https://www.goodreads.com/book/show/12232938-the-lovely-bones,GoodReads
63,"The Adventures of Huckleberry Finn (Adventures of Tom and Huck, #2)",Mark Twain,3.83,1346348,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546096879i/2956._SX50_.jpg,https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,GoodReads
64,Life of Pi,Yann Martel,3.94,1772372,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631251689i/4214._SY75_.jpg,https://www.goodreads.com/book/show/4214.Life_of_Pi,GoodReads
65,Lolita,Vladimir Nabokov,3.87,964830,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1377756377i/7604._SY75_.jpg,https://www.goodreads.com/book/show/7604.Lolita,GoodReads
66,A Tale of Two Cities,Charles Dickens,3.88,1024877,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1344922523i/1953._SY75_.jpg,https://www.goodreads.com/book/show/1953.A_Tale_of_Two_Cities,GoodReads
67,Slaughterhouse-Five,Kurt Vonnegut Jr.,4.1,1507480,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440319389i/4981._SY75_.jpg,https://www.goodreads.com/book/show/4981.Slaughterhouse_Five,GoodReads
68,The Bell Jar,Sylvia Plath,4.04,1272067,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554582218i/6514._SY75_.jpg,https://www.goodreads.com/book/show/6514.The_Bell_Jar,GoodReads
69,Matilda,Roald Dahl,4.34,1132719,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1388793265i/39988._SY75_.jpg,https://www.goodreads.com/book/show/39988.Matilda,GoodReads
70,Water for Elephants,Sara Gruen,4.11,1716041,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1667708346i/43641._SY75_.jpg,https://www.goodreads.com/book/show/43641.Water_for_Elephants,GoodReads
71,"Harry Potter and the Philosopher's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11630459,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1598823299i/42844155._SX50_.jpg,https://www.goodreads.com/book/show/42844155-harry-potter-and-the-philosopher-s-stone,GoodReads
72,The Stand,Stephen  King,4.35,850912,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1213131305i/149267._SX50_.jpg,https://www.goodreads.com/book/show/149267.The_Stand,GoodReads
73,Catch-22,Joseph Heller,3.99,896796,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1463157317i/168668._SY75_.jpg,https://www.goodreads.com/book/show/168668.Catch_22,GoodReads
74,"The Adventures of Sherlock Holmes (Sherlock Holmes, #3)",Arthur Conan Doyle,4.3,330762,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1164045516i/3590._SY75_.jpg,https://www.goodreads.com/book/show/3590.The_Adventures_of_Sherlock_Holmes,GoodReads
75,A Clockwork Orange,Anthony Burgess,,783224,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1549260060i/41817486._SX50_.jpg,https://www.goodreads.com/book/show/41817486-a-clockwork-orange,GoodReads
76,"The Pillars of the Earth (Kingsbridge, #1)",Ken Follett,4.35,846211,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1576956100i/5043._SY75_.jpg,https://www.goodreads.com/book/show/5043.The_Pillars_of_the_Earth,GoodReads
77,Rebecca,Daphne du Maurier,4.25,745234,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1386605169i/17899948._SX50_.jpg,https://www.goodreads.com/book/show/17899948-rebecca,GoodReads
78,"Watership Down (Watership Down, #1)",Richard  Adams,4.09,510787,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405136931i/76620._SY75_.jpg,https://www.goodreads.com/book/show/76620.Watership_Down,GoodReads
79,The Color Purple,Alice Walker,4.28,764244,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1703084419i/52892857._SY75_.jpg,https://www.goodreads.com/book/show/52892857-the-color-purple,GoodReads
80,Great Expectations,Charles Dickens,3.8,886080,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1631687432i/2623._SY75_.jpg,https://www.goodreads.com/book/show/2623.Great_Expectations,GoodReads
81,"Outlander (Outlander, #1)",Diana Gabaldon,4.27,1171595,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1659086907i/10964._SY75_.jpg,https://www.goodreads.com/book/show/10964.Outlander,GoodReads
82,The Elephant Tree,R.D. Ronald,3.92,44373,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327248026i/9293020._SY75_.jpg,https://www.goodreads.com/book/show/9293020-the-elephant-tree,GoodReads
83,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,4.41,3203243,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1654215925i/61215351._SY75_.jpg,https://www.goodreads.com/book/show/61215351-the-fellowship-of-the-ring,GoodReads
84,Anna Karenina,Leo Tolstoy,4.11,951779,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546091617i/15823480._SX50_.jpg,https://www.goodreads.com/book/show/15823480-anna-karenina,GoodReads
85,One Flew Over the Cuckoo’s Nest,Ken Kesey,4.2,789238,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1516211014i/332613._SX50_.jpg,https://www.goodreads.com/book/show/332613.One_Flew_Over_the_Cuckoo_s_Nest,GoodReads
86,The Brothers Karamazov,Fyodor Dostoevsky,4.39,402333,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1427728126i/4934._SX50_.jpg,https://www.goodreads.com/book/show/4934.The_Brothers_Karamazov,GoodReads
87,My Sister's Keeper,Jodi Picoult,4.11,1285067,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1369504683i/10917._SY75_.jpg,https://www.goodreads.com/book/show/10917.My_Sister_s_Keeper,GoodReads
88,The Zombie Room,R.D. Ronald,3.95,44485,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1460547041i/29908754._SY75_.jpg,https://www.goodreads.com/book/show/29908754-the-zombie-room,GoodReads
89,To Kill a Mockingbird,Harper Lee,4.26,7016855,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554368352i/2654._SX50_.jpg,https://www.goodreads.com/book/show/2654.To_Kill_a_Mockingbird,GoodReads
90,A Tree Grows in Brooklyn,Betty  Smith,4.3,523690,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327883484i/14891._SY75_.jpg,https://www.goodreads.com/book/show/14891.A_Tree_Grows_in_Brooklyn,GoodReads
91,The Road,Cormac McCarthy,,1065638,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1600241424i/6288._SY75_.jpg,https://www.goodreads.com/book/show/6288.The_Road,GoodReads
92,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.57,4280966,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627044952i/58613424._SY75_.jpg,https://www.goodreads.com/book/show/58613424-harry-potter-and-the-goblet-of-fire,GoodReads
93,Gone Girl,Gillian Flynn,4.15,3508073,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1554086139i/19288043._SY75_.jpg,https://www.goodreads.com/book/show/19288043-gone-girl,GoodReads
94,"The Golden Compass (His Dark Materials, #1)",Philip Pullman,4.03,1633506,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1505766203i/119322._SX50_.jpg,https://www.goodreads.com/book/show/119322.The_Golden_Compass,GoodReads
95,And Then There Were None,Agatha Christie,4.27,1667867,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1638425885i/16299._SY75_.jpg,https://www.goodreads.com/book/show/16299.And_Then_There_Were_None,GoodReads
96,Siddhartha,Hermann Hesse,4.09,897730,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1629378189i/52036._SY75_.jpg,https://www.goodreads.com/book/show/52036.Siddhartha,GoodReads
97,"Vampire Academy (Vampire Academy, #1)",Richelle Mead,4.1,685266,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1361098973i/345627._SY75_.jpg,https://www.goodreads.com/book/show/345627.Vampire_Academy,GoodReads
98,Don Quixote,Miguel de Cervantes Saavedra,3.91,311061,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1546112331i/3836._SX50_.jpg,https://www.goodreads.com/book/show/3836.Don_Quixote,GoodReads
99,"Angela's Ashes (Frank McCourt, #1)",Frank McCourt,4.16,663778,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348317139i/252577._SY75_.jpg,https://www.goodreads.com/book/show/252577.Angela_s_Ashes,GoodReads
100,The Old Man and the Sea,Ernest Hemingway,3.81,1346286,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329189714i/2165._SY75_.jpg,https://www.goodreads.com/book/show/2165.The_Old_Man_and_the_Sea,GoodReads
101,The Stranger,Albert Camus,4.03,1467818,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1738704267i/49552._SY75_.jpg,https://www.goodreads.com/book/show/49552.The_Stranger,GoodReads
102,The Poisonwood Bible,Barbara Kingsolver,4.11,803635,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1644073807i/7244._SY75_.jpg,https://www.goodreads.com/book/show/7244.The_Poisonwood_Bible,GoodReads
103,The Complete Stories and Poems,Edgar Allan Poe,4.4,298893,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327942676i/23919._SY75_.jpg,https://www.goodreads.com/book/show/23919.The_Complete_Stories_and_Poems,GoodReads
104,Dark Places,Gillian Flynn,3.94,855564,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1354988288i/5886881._SY75_.jpg,https://www.goodreads.com/book/show/5886881-dark-places,GoodReads
105,Shutter Island,Dennis Lehane,4.14,234165,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1329269081i/21686._SY75_.jpg,https://www.goodreads.com/book/show/21686.Shutter_Island,GoodReads
106,"Interview with the Vampire (The Vampire Chronicles, #1)",Anne Rice,4.02,660855,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1380631642i/43763._SY75_.jpg,https://www.goodreads.com/book/show/43763.Interview_with_the_Vampire,GoodReads
107,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.58,3722953,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1627043894i/58613345._SY75_.jpg,https://www.goodreads.com/book/show/58613345-harry-potter-and-the-half-blood-prince,GoodReads
108,Atlas Shrugged,Ayn Rand,3.69,409940,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1405868167i/662._SY75_.jpg,https://www.goodreads.com/book/show/662.Atlas_Shrugged,GoodReads
109,The Girl Who Played with Fire (Millennium #2),Stieg Larsson,4.26,997348,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351778881i/5060378._SX50_.jpg,https://www.goodreads.com/book/show/5060378-the-girl-who-played-with-fire,GoodReads
110,"Winnie-the-Pooh (Winnie-the-Pooh, #1)",A.A. Milne,4.37,356693,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1298440130i/99107._SY75_.jpg,https://www.goodreads.com/book/show/99107.Winnie_the_Pooh,GoodReads
111,"The Notebook (The Notebook, #1)",Nicholas Sparks,4.17,1858806,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1483183484i/33648131._SY75_.jpg,https://www.goodreads.com/book/show/33648131-the-notebook,GoodReads
112,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,11630459,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1474154022i/3._SY75_.jpg,https://www.goodreads.com/book/show/3.Harry_Potter_and_the_Sorcerer_s_Stone,GoodReads
113,Fahrenheit 451,Ray Bradbury,3.97,2922074,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1351643740i/4381._SY75_.jpg,https://www.goodreads.com/book/show/4381.Fahrenheit_451,GoodReads
114,A Story of Yesterday,Sergio Cobo,4.53,23559,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1630609122i/58913358._SY75_.jpg,https://www.goodreads.com/book/show/58913358-a-story-of-yesterday,GoodReads
115,Perfume: The Story of a Murderer,Patrick Süskind,4.04,571785,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1409112276i/343._SY75_.jpg,https://www.goodreads.com/book/show/343.Perfume,GoodReads
116,Fight Club,Chuck Palahniuk,4.18,654892,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1558216416i/36236124._SY75_.jpg,https://www.goodreads.com/book/show/36236124-fight-club,GoodReads
